Health District,Week,Value
Chesapeake,Week 10,0.0
Chesapeake,Week 11,0.00
Chesapeake,Week 12,0.02
Chesapeake,Week 13,0.35
Chesapeake,Week 14,1.22
Chesapeake,Week 15,0.92
Chesapeake,Week 16,0.89
Chesapeake,Week 17,1.24
Chesapeake,Week 18,1.70
Chesapeake,Week 19,1.72
Chesapeake,Week 20,1.51
Chesapeake,Week 21,1.51
Chesapeake,Week 22,1.99
Chesapeake,Week 23,1.48
Chesapeake,Week 24,2.05
Chesapeake,Week 25,2.47
Chesapeake,Week 26,2.31
Chesapeake,Week 27,3.99
Chesapeake,Week 28,7.48
Chesapeake,Week 29,9.56
Chesapeake,Week 30,10.43
Chesapeake,Week 31,10.04
Chesapeake,Week 32,7.26
Chesapeake,Week 33,7.11
Chesapeake,Week 34,5.54
Chesapeake,Week 35,4.91
Chesapeake,Week 36,3.73
Chesapeake,Week 37,2.64
Chesapeake,Week 38,2.64
Chesapeake,Week 39,2.18
Chesapeake,Week 40,1.11
Norfolk,Week 10,0.00
Norfolk,Week 11,0.00
Norfolk,Week 12,0.05
Norfolk,Week 13,0.26
Norfolk,Week 14,0.77
Norfolk,Week 15,0.63
Norfolk,Week 16,0.63
Norfolk,Week 17,1.03
Norfolk,Week 18,1.27
Norfolk,Week 19,1.75
Norfolk,Week 20,1.22
Norfolk,Week 21,3.14
Norfolk,Week 22,1.80
Norfolk,Week 23,1.68
Norfolk,Week 24,1.54
Norfolk,Week 25,1.58
Norfolk,Week 26,2.98
Norfolk,Week 27,5.43
Norfolk,Week 28,10.41
Norfolk,Week 29,12.53
Norfolk,Week 30,9.98
Norfolk,Week 31,8.42
Norfolk,Week 32,6.43
Norfolk,Week 33,5.35
Norfolk,Week 34,4.56
Norfolk,Week 35,4.66
Norfolk,Week 36,3.70
Norfolk,Week 37,2.64
Norfolk,Week 38,1.97
Norfolk,Week 39,2.25
Norfolk,Week 40,1.34
Virginia Beach,Week 10,0.00
Virginia Beach,Week 11,0.00
Virginia Beach,Week 12,0.24
Virginia Beach,Week 13,0.68
Virginia Beach,Week 14,1.60
Virginia Beach,Week 15,1.16
Virginia Beach,Week 16,0.66
Virginia Beach,Week 17,0.96
Virginia Beach,Week 18,1.00
Virginia Beach,Week 19,0.99
Virginia Beach,Week 20,0.73
Virginia Beach,Week 21,0.96
Virginia Beach,Week 22,1.34
Virginia Beach,Week 23,0.85
Virginia Beach,Week 24,1.23
Virginia Beach,Week 25,1.57
Virginia Beach,Week 26,2.05
Virginia Beach,Week 27,3.88
Virginia Beach,Week 28,9.30
Virginia Beach,Week 29,12.64
Virginia Beach,Week 30,12.09
Virginia Beach,Week 31,10.34
Virginia Beach,Week 32,7.37
Virginia Beach,Week 33,5.21
Virginia Beach,Week 34,4.69
Virginia Beach,Week 35,3.98
Virginia Beach,Week 36,3.79
Virginia Beach,Week 37,3.14
Virginia Beach,Week 38,3.11
Virginia Beach,Week 39,3.01
Virginia Beach,Week 40,1.43
